শাংথনা	ꯁꯥꯡꯊꯅꯥ
কাজাউ	ꯀꯥꯖꯥꯎ
লাংদা	ꯂꯥꯡꯗꯥ
চাওশিন্নবগী	ꯆꯥꯎꯁꯤꯟꯅꯕꯒꯤ
মশিংদগী	ꯃꯁꯤꯡꯗꯒꯤ
সুরজকুমারনা	ꯁꯨꯔꯖꯀꯨꯃꯥꯔꯅꯥ
লুখ্রাবীদু	ꯂꯨꯈ꯭ꯔꯥꯕꯤꯗꯨ
শুখদেব	ꯁꯨꯈꯗꯦꯕ
মীশিগী	ꯃꯤꯁꯤꯒꯤ
বালা	ꯕꯥꯂꯥ
বিক্রমজিৎ	ꯕꯤꯀ꯭ꯔꯝꯖꯤꯠ
তোরকপদগী	ꯇꯣꯔꯛꯄꯗꯒꯤ
সঙ্ঘথন	ꯁꯪꯘꯊꯟ
উন্নবদুদা	ꯎꯟꯅꯕꯗꯨꯗꯥ
ওন্বগী	ꯑꯣꯟꯕꯒꯤ
পিকনা	ꯄꯤꯛꯅꯥ
কেনাদানা	ꯀꯦꯅꯥꯗꯥꯅꯥ
ইরাবটকী	ꯏꯔꯥꯕꯠꯀꯤ
আর্তিকল	ꯑꯥꯔꯇꯤꯀꯜ
মোরেনি	ꯃꯣꯔꯦꯅꯤ
সিলচরগীদমক	ꯁꯤꯜꯆꯔꯒꯤꯗꯃꯛ
অপকীদমক	ꯑꯞꯀꯤꯗꯃꯛ
হামদোকপীনবা	ꯍꯥꯝꯗꯣꯛꯄꯤꯅꯕꯥ
খুত্লাইদু	ꯈꯨꯠꯂꯥꯢꯗꯨ
লোনশিংদা	ꯂꯣꯟꯁꯤꯡꯗꯥ
য়েংখিনি	ꯌꯦꯡꯈꯤꯅꯤ
খোমদ্রাম	ꯈꯣꯝꯗ꯭ꯔꯥꯝ
তূম্থোক্খ্রে	ꯇꯨꯝꯊꯣꯛꯈ꯭ꯔꯦ
পম্খত্লগা	ꯄꯝꯈꯠꯂꯒꯥ
পাঙথেকেদৌরিবা	ꯄꯥꯉꯊꯦꯀꯦꯗꯧꯔꯤꯕꯥ
লিকমাবমদা	ꯂꯤꯛꯃꯥꯕꯝꯗꯥ
ইনাওশিংদা	ꯏꯅꯥꯎꯁꯤꯡꯗꯥ
ক্লাসসু	ꯀ꯭ꯂꯥꯁꯁꯨ
শুংবদা	ꯁꯨꯡꯕꯗꯥ
পার্কতগী	ꯄꯥꯔ꯭ꯀꯠꯒꯤ
রিসেপসনগী	ꯔꯤꯁꯦꯞꯁꯟꯒꯤ
ঙম্বদা	ꯉꯝꯕꯗꯥ
থোরক্তবগী	ꯊꯣꯔꯛꯇꯕꯒꯤ
লেজিষ্টলেটর	ꯂꯦꯖꯤꯁ꯭ꯇꯂꯦꯇꯔ
থৌনা	ꯊꯧꯅꯥ
হিংয়াংথাং	ꯍꯤꯡꯌꯥꯡꯊꯥꯡ
লেপ্লক্নবা	ꯂꯦꯞꯂꯛꯅꯕꯥ
মনুংশিংগী	ꯃꯅꯨꯡꯁꯤꯡꯒꯤ
ৱানবা	ꯋꯥꯟꯕꯥ
এল্লাইয়েন্স	ꯑꯦꯜꯂꯥꯢꯌꯦꯟ꯭ꯁ
নোনখিবা	ꯅꯣꯟꯈꯤꯕꯥ
পাইখিববু	ꯄꯥꯢꯈꯤꯕꯕꯨ
সমরক	ꯁꯝꯔꯛ
স্বাস্তি	ꯁ꯭ꯋꯥꯁꯇꯤ
নুংশিখ্রেদা	ꯅꯨꯡꯁꯤꯈ꯭ꯔꯦꯗꯥ
মেরিকো	ꯃꯦꯔꯤꯀꯣ
ইভা	ꯏꯚꯥ
কন্সত্রক্সন	ꯀꯟ꯭ꯁꯇ꯭ꯔꯛꯁꯟ
হোংদোকহনখ্রে	ꯍꯣꯡꯗꯣꯛꯍꯟꯈ꯭ꯔꯦ
কংভাই	ꯀꯪꯚꯥꯢ
কাপাংরিন	ꯀꯥꯄꯥꯡꯔꯤꯟ
থোরকপশিং	ꯊꯣꯔꯛꯄꯁꯤꯡ
চঙ্খ্রবদা	ꯆꯪꯈ꯭ꯔꯕꯗꯥ
কেমিকেলসনসু	ꯀꯦꯃꯤꯀꯦꯜꯁꯅꯁꯨ
হৌদেক্কনি	ꯍꯧꯗꯦꯛꯀꯅꯤ
লম্হুই	ꯂꯝꯍꯨꯢ
শিল্লোংদসু	ꯁꯤꯜꯂꯣꯡꯗꯁꯨ
থম্লক্লিবা	ꯊꯝꯂꯛꯂꯤꯕꯥ
লেপলম্বা	ꯂꯦꯞꯂꯝꯕꯥ
ত্রিপুরা	ꯇ꯭ꯔꯤꯄꯨꯔꯥ
চয়েৎনরিবা	ꯆꯌꯦꯠꯅꯔꯤꯕꯥ
বার্তোন	ꯕꯥꯔꯇꯣꯟ
হেরোজিৎনা	ꯍꯦꯔꯣꯖꯤꯠꯅꯥ
শাগোল	ꯁꯥꯒꯣꯜ
ঙায়শিল্লকপগা	ꯉꯥꯢꯁꯤꯜꯂꯛꯄꯒꯥ
য়োম্লগা	ꯌꯣꯝꯂꯒꯥ
বৈষ্ণবতা	ꯕꯩꯁꯅꯕꯇꯥ
ত্রেট	ꯇ꯭ꯔꯦꯠ
হাপ্লম্লে	ꯍꯥꯞꯂꯝꯂꯦ
খিনখিবনি	ꯈꯤꯟꯈꯤꯕꯅꯤ
লৈরুরে	ꯂꯩꯔꯨꯔꯦ
এদুকেটরশিং	ꯑꯦꯗꯨꯀꯦꯇꯔꯁꯤꯡ
সস্তর	ꯁꯁꯇꯔ
ওইরক্লবদা	ꯑꯣꯢꯔꯛꯂꯕꯗꯥ
তোংলদুনা	ꯇꯣꯡꯂꯗꯨꯅꯥ
ৱিন্নরশিংনা	ꯋꯤꯟꯅꯔꯁꯤꯡꯅꯥ
খোন্থোক্	ꯈꯣꯟꯊꯣꯛ
ক্রোপিং	ꯀ꯭ꯔꯣꯄꯤꯡ
চেয়ারর্পসন	ꯆꯦꯌꯥꯔꯄꯔꯁꯟ
শেৎ	ꯁꯦꯠ
য়োনব্রা	ꯌꯣꯟꯕ꯭ꯔꯥ
কেন	ꯀꯦꯟ
সুত্তরশিংগী	ꯁꯨꯠꯇꯔꯁꯤꯡꯒꯤ
অঙনফৌ	ꯑꯉꯟꯐꯧ
রাাজ্য	ꯔꯥꯖ꯭ꯌ
পুরগনি	ꯄꯨꯔꯒꯅꯤ
ফৎচদ্রবসু	ꯐꯠꯆꯗ꯭ꯔꯕꯁꯨ
ইনগদবনি	ꯏꯟꯒꯗꯕꯅꯤ
ঙাইহৌরিবা	ꯉꯥꯢꯍꯧꯔꯤꯕꯥ
বিগনা	ꯕꯤꯒꯅꯥ
সরঙ্গীসু	ꯁꯔꯪꯒꯤꯁꯨ
বালারামজি	ꯕꯥꯂꯥꯔꯥꯝꯖꯤ
থিননবা	ꯊꯤꯅꯅꯕꯥ
উরদুগী	ꯎꯔꯗꯨꯒꯤ
ফোংদোক্নবা	ꯐꯣꯡꯗꯣꯛꯅꯕꯥ
ঙাংবদা	ꯉꯥꯡꯕꯗꯥ
ষ্ট্রিমিং	ꯁ꯭ꯇ꯭ꯔꯤꯃꯤꯡ
পুন্সিদা	ꯄꯨꯟꯁꯤꯗꯥ
সিটতনা	ꯁꯤꯠꯇꯅꯥ
পাম্জবোইরে	ꯄꯥꯝꯖꯕꯣꯢꯔꯦ
চোংখত্লক্পা	ꯆꯣꯡꯈꯠꯂꯛꯄꯥ
লমথারবা	ꯂꯝꯊꯥꯔꯕꯥ
লাংদোন্সিদগী	ꯂꯥꯡꯗꯣꯟꯁꯤꯗꯒꯤ
থেংনাবোইরে	ꯊꯦꯡꯅꯥꯕꯣꯢꯔꯦ
পোকহন্নবনি	ꯄꯣꯛꯍꯟꯅꯕꯅꯤ
খুদোংচাহনগনি	ꯈꯨꯗꯣꯡꯆꯥꯍꯟꯒꯅꯤ
লান্মীবু	ꯂꯥꯟꯃꯤꯕꯨ
ফোনশিংদা	ꯐꯣꯟꯁꯤꯡꯗꯥ
অকোয়বগী	ꯑꯀꯣꯢꯕꯒꯤ
সদস্য	ꯁꯗꯁ꯭ꯌ
এক্সতেন্সন	ꯑꯦꯛ꯭ꯁꯇꯦꯟꯁꯟ
হাপচিনবগা	ꯍꯥꯞꯆꯤꯟꯕꯒꯥ
জয়ুকুমার	ꯖꯌꯨꯀꯨꯃꯥꯔ
সরকারশিংনা	ꯁꯔꯀꯥꯔꯁꯤꯡꯅꯥ
নীংজদুনা	ꯅꯤꯡꯖꯗꯨꯅꯥ
মীচৈ	ꯃꯤꯆꯩ
সিজনদসু	ꯁꯤꯖꯟꯗꯁꯨ
বোগিবিল	ꯕꯣꯒꯤꯕꯤꯜ
শিংথানিংঙাইনি	ꯁꯤꯡꯊꯥꯅꯤꯡꯉꯥꯢꯅꯤ
চিত্রা	ꯆꯤꯇ꯭ꯔꯥ
ইলেক্তোরোল	ꯏꯂꯦꯛꯇꯣꯔꯣꯜ
অবার্নগী	ꯑꯕꯥꯔ꯭ꯅꯒꯤ
নেক্সলাইটশিংগা	ꯅꯦꯛ꯭ꯁꯂꯥꯢꯇꯁꯤꯡꯒꯥ
দ্রাইভর	ꯗ꯭ꯔꯥꯢꯚꯔ
সাইতুগী	ꯁꯥꯢꯇꯨꯒꯤ
ইতালিদা	ꯏꯇꯥꯂꯤꯗꯥ
তুরেলশিংগী	ꯇꯨꯔꯦꯜꯁꯤꯡꯒꯤ
মেছিন্নরি	ꯃꯦꯁꯤꯟꯅꯔꯤ
মাধুলিকা	ꯃꯥꯙꯨꯂꯤꯀꯥ
কৈথেলশিংগীদি	ꯀꯩꯊꯦꯜꯁꯤꯡꯒꯤꯗꯤ
কোনখাম	ꯀꯣꯟꯈꯥꯝ
নী	ꯅꯤ
লৌখৎপদগী	ꯂꯧꯈꯠꯄꯗꯒꯤ
হেনগৎহনদনবগীদমক	ꯍꯦꯟꯒꯠꯍꯟꯗꯅꯕꯒꯤꯗꯃꯛ
মালদা	ꯃꯥꯜꯗꯥ
ওইজরগে	ꯑꯣꯢꯖꯔꯒꯦ
মনাতোন্দু	ꯃꯅꯥꯇꯣꯟꯗꯨ
কমপ্লিসন	ꯀꯝꯄ꯭ꯂꯤꯁꯟ
শুম্হত্খ্রে	ꯁꯨꯝꯍꯠꯈ꯭ꯔꯦ
সর্বা	ꯁꯔꯕꯥ
চৌহাননা	ꯆꯧꯍꯥꯟꯅꯥ
তরুকলকশুবনি	ꯇꯔꯨꯛꯂꯛꯁꯨꯕꯅꯤ
লাল্লোংদা	ꯂꯥꯜꯂꯣꯡꯗꯥ
ঙমগদৌরিব্রা	ꯉꯝꯒꯗꯧꯔꯤꯕ꯭ꯔꯥ
নরেসনা	ꯅꯔꯦꯁꯅꯥ
জাত্রা	ꯖꯥꯇ꯭ꯔꯥ
বরগব	ꯕꯔꯒꯕ
অরাপতিগী	ꯑꯔꯥꯞꯇꯤꯒꯤ
খোঙবানদা	ꯈꯣꯡꯕꯥꯟꯗꯥ
ক্যামগৈদা	ꯀ꯭ꯌꯥꯝꯒꯩꯗꯥ
য়ুনিভরসিতি	ꯌꯨꯅꯤꯚꯔꯁꯤꯇꯤ
নুংথেল	ꯅꯨꯡꯊꯦꯜ
চাউথোকচনিংঙাই	ꯆꯥꯎꯊꯣꯛꯆꯅꯤꯡꯉꯥꯢ
পীবিদ্রে	ꯄꯤꯕꯤꯗ꯭ꯔꯦ
ইন্দষ্ট্রিজশিংগী	ꯏꯟꯗꯁ꯭ꯇ꯭ꯔꯤꯖꯁꯤꯡꯒꯤ
গনতন্দ্র	ꯒꯅꯇꯟꯗ꯭ꯔ
সেকমাইজিলদা	ꯁꯦꯀꯃꯥꯢꯖꯤꯜꯗꯥ
মারকেলগা	ꯃꯥꯔꯀꯦꯜꯒꯥ
হেদক্বাতরসতা	ꯍꯦꯗꯀ꯭ꯋꯥꯇꯔꯁꯇꯥ
অকাইগী	ꯑꯀꯥꯢꯒꯤ
মবেল	ꯃꯕꯦꯜ
স্তেতশিংগী	ꯁꯇꯦꯠꯁꯤꯡꯒꯤ
খঙ্ঙু	ꯈꯪꯉꯨ
মেন্শিল্লগা	ꯃꯦꯟꯁꯤꯜꯂꯒꯥ
এক্সেসসিবল	ꯑꯦꯛꯁꯦꯁꯁꯤꯕꯜ
অতোন্বা	ꯑꯇꯣꯟꯕꯥ
তাজৈ	ꯇꯥꯖꯩ
থৌদাংবুসু	ꯊꯧꯗꯥꯡꯕꯨꯁꯨ
ঙাকশেলগা	ꯉꯥꯛꯁꯦꯜꯒꯥ
চেনেলদা	ꯆꯦꯅꯦꯜꯗꯥ
টাউন্দদা	ꯇꯥꯎꯟ꯭ꯗꯗꯥ
লোইশিনগদবা	ꯂꯣꯢꯁꯤꯟꯒꯗꯕꯥ
য়ুঙৌ	ꯌꯨꯉꯧ
দিগ্রি	ꯗꯤꯒ꯭ꯔꯤ
থারক্উ	ꯊꯥꯔꯛꯎ
মোনিটর	ꯃꯣꯅꯤꯇꯔ
ইম্ফাগী	ꯏꯝꯐꯥꯒꯤ
ঈংনা	ꯏꯪꯅꯥ
ভারত্তনা	ꯚꯥꯔꯠꯇꯅꯥ
কংলৈপাক	ꯀꯪꯂꯩꯄꯥꯛ
গেন	ꯒꯦꯟ
চৎমিন্ননবা	ꯆꯠꯃꯤꯟꯅꯅꯕꯥ
কোল্	ꯀꯣꯜ
চেংদু	ꯆꯦꯡꯗꯨ
মখোন্দা	ꯃꯈꯣꯟꯗꯥ
ঈথৈ	ꯏꯊꯩ
কেপিতেলসপু	ꯀꯦꯄꯤꯇꯦꯜꯁꯄꯨ
মায়থিখ্রবসু	ꯃꯥꯢꯊꯤꯈ꯭ꯔꯕꯁꯨ
মহারাষ্ট্রগী	ꯃꯍꯥꯔꯥꯁꯇ꯭ꯔꯒꯤ
খোয়্দৌ	ꯈꯣꯢꯗꯧ
ওইরখিবশিং	ꯑꯣꯢꯔꯈꯤꯕꯁꯤꯡ
থাপ্পী	ꯊꯥꯞꯄꯤ
সোরি	ꯁꯣꯔꯤ
চত্থরকখিবদগী	ꯆꯠꯊꯔꯛꯈꯤꯕꯗꯒꯤ
মাক্সশিং	ꯃꯥꯛ꯭ꯁꯁꯤꯡ
জৈসেলমারদা	ꯖꯩꯁꯦꯜꯃꯥꯔꯗꯥ
থবক্শিং	ꯊꯕꯛꯁꯤꯡ
তাইবঙ্মী	ꯇꯥꯢꯕꯪꯃꯤ
বিমস্তেকনা	ꯕꯤꯃꯁꯇꯦꯛꯅꯥ
গম্ভিরগী	ꯒꯝꯚꯤꯔꯒꯤ
কাপ্লগা	ꯀꯥꯞꯂꯒꯥ
শিরম্বগী	ꯁꯤꯔꯝꯕꯒꯤ
জহাংনা	ꯖꯍꯥꯡꯅꯥ
কাষ্টকী	ꯀꯥꯁ꯭ꯇꯀꯤ
শান্নখিবনি	ꯁꯥꯟꯅꯈꯤꯕꯅꯤ
প্রোভিজনশিং	ꯄ꯭ꯔꯣꯚꯤꯖꯟꯁꯤꯡ
শিন্নগদবনি	ꯁꯤꯟꯅꯒꯗꯕꯅꯤ
তাংনা	ꯇꯥꯡꯅꯥ
খক্কী	ꯈꯛꯀꯤ
রোসিবিনানা	ꯔꯣꯁꯤꯕꯤꯅꯥꯅꯥ
সবষ্টেসন	ꯁꯕꯁ꯭ꯇꯦꯁꯟ
অমফাওবা	ꯑꯝꯐꯥꯎꯕꯥ
চেকশিল্লবদি	ꯆꯦꯛꯁꯤꯜꯂꯕꯗꯤ
কৌজবনি	ꯀꯧꯖꯕꯅꯤ
ঙঙ্বা	ꯉꯪꯕꯥ
থাগৎলকনবা	ꯊꯥꯒꯠꯂꯛꯅꯕꯥ
হায়্বদুদি	ꯍꯥꯢꯕꯗꯨꯗꯤ
থিন্থবনি	ꯊꯤꯟꯊꯕꯅꯤ
