2025-05-12 18:13:56,385 (xlit_task:132)  INFO: Data Information:
2025-05-12 18:13:56,387 (xlit_task:133)  INFO: Batch size: 32
2025-05-12 18:13:56,388 (xlit_task:134)  INFO: [Training] Data size: 44098 to 1379 batches
2025-05-12 18:13:56,389 (xlit_task:137)  INFO: [Validation] Data size: 14699 to 460 batches
2025-05-12 18:13:56,390 (xlit_task:140)  INFO: Token information
2025-05-12 18:13:56,391 (xlit_task:141)  INFO: [ben] Tokenizer loaded with 64 tokens.
2025-05-12 18:13:56,392 (xlit_task:144)  INFO: [mni] Tokenizer loaded with 47 tokens.
2025-05-12 18:13:56,393 (xlit_task:150)  INFO: Model information:
LSTMSeq2Seq(
  (embedding): Embedding(64, 128)
  (encoder): LSTM(128, 128, num_layers=2, batch_first=True, dropout=0.25)
  (decoder): LSTM(128, 128, num_layers=2, batch_first=True, dropout=0.25)
  (output_layer): Linear(in_features=128, out_features=47, bias=True)
  (dropout): Dropout(p=0.25, inplace=False)
)
2025-05-12 18:13:56,393 (xlit_task:151)  INFO: Total trainable parameters: 542639
2025-05-12 18:13:56,394 (xlit_task:152)  INFO: Experiment directory: exp/xlit_train_lstm_char_ben_mni
2025-05-12 18:13:56,397 (xlit_task:153)  INFO: Optimizer: Adam
2025-05-12 18:13:56,397 (xlit_task:154)  INFO: Loss criterion: CrossEntropyLoss
2025-05-12 18:13:56,398 (xlit_task:185)  INFO: Started training lstm model on [cuda]
2025-05-12 18:13:56,400 (xlit_task:190)  INFO: Epoch 1/50
2025-05-12 18:17:21,301 (xlit_task:200)  INFO: Train Loss: 0.2851
2025-05-12 18:17:38,754 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 1.
2025-05-12 18:17:38,755 (xlit_task:238)  INFO: Val Loss: 0.2238, CER: 0.8034, Word Accuracy: 0.0001
2025-05-12 18:17:38,756 (xlit_task:249)  INFO: Epoch 1 duration: 222.36 sec | ETA: 03:01:35
2025-05-12 18:17:38,762 (save:32)  INFO: Saved best training loss model at epoch 1.
2025-05-12 18:17:38,767 (save:38)  INFO: Saved best validation loss model at epoch 1.
